STT,Nhóm / Cây quyết định,Điều kiện / Trigger,Kết quả / Hành động,Tham số / Giá trị,Guardrail / Edge case / Ghi chú,File nguồn (kiểm chứng)
,LONG CHÂU CARE — CÂY QUYẾT ĐỊNH & FULL LOGIC (BUSINESS → RULE),Tài liệu sinh tự động — ĐÃ KIỂM CHỨNG từ source code thực tế,,Ngày tạo: 2026-06-03,Mỗi dòng = 1 nhánh quyết định / 1 rule. STT = thứ tự ưu tiên đánh giá.,
,,,,,,
,████  MỤC LỤC,,,,,
00,00. Triết lý & Vai trò (AI phụ - Dược sĩ chính) — Rule #0,,,,,
01,01. Auth & Phân quyền,,,,,
02,02. Onboarding flow + Validation,,,,,
03,03. CÂY QUYẾT ĐỊNH: Gán cây (Plant Assignment) — Backend,,,,,
04,04. CÂY QUYẾT ĐỊNH: Gán cây (Plant Assignment) — Frontend,,,,,
05,05. Bảng 15 nhóm cây + Disease→Plant,,,,,
06,06. CÂY QUYẾT ĐỊNH: Auto-approve vs Dược sĩ duyệt,,,,,
07,07. Care Plan & Sinh Habit (AI),,,,,
08,08. Garden: Tưới cây / Streak / Stage,,,,,
09,09. Family Garden & Tưới hộ,,,,,
10,10. Notification & Rate limit,,,,,
11,11. Voucher & Loyalty (Guardrail #4),,,,,
12,12. Pharmacist Dashboard & SLA,,,,,
13,13. Scheduler / Cron jobs,,,,,
14,14. AI Guardrails (Rule #0) — 3 lớp,,,,,
15,15. Health Tracking (Google Fit),,,,,
16,16. OCR / Upload,,,,,
17,17. Adherence Cross-check,,,,,
18,18. Achievements / Badges,,,,,
19,19. Business Model / LTV / Moat,,,,,
20,20. Edge cases & Error handling,,,,,
21,21. Firestore data model,,,,,
22,22. API endpoints map,,,,,
23,23. Demo flow (5 bước Wow),,,,,
24,24. Bug / Inconsistency phát hiện (kiểm chứng),,,,,
,,,,,,
,████  00. TRIẾT LÝ & VAI TRÒ — RULE #0 (nền tảng pháp lý),,,,,
1,Vai trò AI,Mọi output AI,"AI = Secondary Actor (trợ lý hành chính). Gom dữ liệu, tạo bản tóm tắt.",KHÔNG phải chatbot y tế,Người dùng cuối KHÔNG thấy output thô — phải qua DS duyệt,ai/prompts/system_prompt.txt
2,Vai trò Dược sĩ,Phê duyệt kế hoạch,"DS = Primary Liable (chịu trách nhiệm chính, ký duyệt).",5-10 DS chuyên trách (Care Team),Human-in-the-loop bắt buộc cho nhóm medical,pharmacist/service.py
3,Rule #0,AI sinh nội dung,"CẤM: chẩn đoán, suy bệnh từ thuốc, kê đơn, đề xuất cây thảo dược.","Banned words: bệnh nhân, chẩn đoán, điều trị bệnh, mắc/bị bệnh, phác đồ",Validate qua guardrails.py 3 lớp + audit log,ai/guardrails.py (L6-L41)
4,Từ thay thế an toàn,Khi mô tả tình trạng,'bị tăng huyết áp' → 'đang dùng thuốc tim mạch'; 'bệnh nhân' → 'khách hàng'; 'điều trị' → 'chăm sóc sức khỏe',,Bảng substitution trong system_prompt,ai/prompts/system_prompt.txt
5,Output rule,Mọi AI output,Phải kết thúc: '📋 Dược sĩ sẽ xem xét và đưa ra quyết định cuối cùng.',Gắn tag nguồn: [OCR] [lịch sử mua] [tự khai] [lab],Thiếu disclaimer DS → bị reject (MISSING_DISCLAIMER),ai/guardrails.py L30-L33
,,,,,,
,████  01. AUTH & PHÂN QUYỀN,,,,,
1,Đăng nhập,"POST /api/auth/login (phone, fullName)","Chuẩn hóa số: ''.join(filter(str.isdigit, phone)). Tạo user nếu chưa có.",uid = '{role}_{clean_phone}',Số rỗng → ValueError,auth/service.py L18-L19
2,Phân vai trò,clean_phone ∈ PHARMACIST_PHONES,"role = 'pharmacist', else 'user'","PHARMACIST_PHONES = {""0999999999"", ""0988888888""}",Hardcode cho demo,auth/service.py L8
3,Token,Sau login,"Firebase custom token (Admin SDK), hiệu lực 1 giờ.",auth.create_custom_token(uid),Frontend đổi lấy ID token qua Firebase Auth Client,auth/service.py L56
4,Middleware,Mọi request có Authorization,Verify Firebase ID token → uid. Token demo (user_/pharmacist_/demo_user_) → bypass.,ENV=production + no token → 401,Fallback 'demo_user_mai' khi không prod,middleware/auth.py L10-L20
5,Routing app,initializeApp(role),role=pharmacist → screen 'pharmacist'; user có plant → 'home'; else 'welcome',setScreenStack,Kiểm tra hasPlant = !!(safeGarden.carePlan || safeGarden.plant),context/AppContext.jsx L169-L246
,,,,,,
